;;11 Uhr;18;3;1
;;13 Uhr;19;5;2
;;15 Uhr;23;4;2
;;17 Uhr;18;0;0
;;19 Uhr;7;2;1
;;;;;
Mittwoch,;21.02.2018;9 Uhr;9;0;0
;;11 Uhr;20;6;2
;;13 Uhr;24;10;3
;;15 Uhr;36;9;3
;;17 Uhr;23;4;2
;;19 Uhr;7;0;0
;;;;;
Donnerstag,;22.02.2018;9 Uhr;10;2;1
;;11 Uhr;29;3;1
;;13 Uhr;22;3;1
;;15 Uhr;29;8;2
;;17 Uhr;26;0;0
;;19 Uhr;5;0;0
;;;;;
Freitag,;23.02.2018;9 Uhr;5;0;0
;;11 Uhr;17;2;1
;;13 Uhr;28;2;1
;;15 Uhr;42;3;1
;;17 Uhr;26;0;0
;;19 Uhr;8;0;0
;;;;;
Samstag,;24.02.2018;9 Uhr;9;0;0
;;11 Uhr;17;0;0
;;13 Uhr;21;3;1
;;15 Uhr;32;8;3
;;17 Uhr;0;0;
;;19 Uhr;0;0;
;;;;;
Montag,;26.02.2018;9 Uhr;10;0;0
;;11 Uhr;20;0;0
;;13 Uhr;28;0;0
;;15 Uhr;25;5;2
;;17 Uhr;26;0;0
;;19 Uhr;15;0;0
;;;;;
Dienstag,;27.02.2018;9 Uhr;15;2;1
;;11 Uhr;20;3;1
;;13 Uhr;19;13;3
;;15 Uhr;22;7;2
;;17 Uhr;25;3;1
;;19 Uhr;9;0;6
;;;;;
Mittwoch,;28.02.2018;9 Uhr;6;4;1
;;11 Uhr;22;4;1
;;13 Uhr;31;10;2
;;15 Uhr;37;10;2
;;17 Uhr;29;8;3
;;19 Uhr;12;4;2
;;;;;
Donnerstag,;01.03.2018;9 Uhr;8;13;3
;;11 Uhr;8;15;3
;;13 Uhr;12;3;1
;;15 Uhr;24;6;2
;;17 Uhr;14;6;2
;;19 Uhr;5;0;0
;;;;;
Freitag,;02.03.2018;9 Uhr;9;2;1
;;11 Uhr;28;2;1
;;13 Uhr;35;0;0
;;15 Uhr;46;3;0
;;17 Uhr;18;0;0
;;19 Uhr;8;0;0
;;;;;
Samstag,;03.03.2018;9 Uhr;10;0;0
;;11 Uhr;23;0;0
;;13 Uhr;34;0;0
;;15 Uhr;38;0;0
;;17 Uhr;0;0;
;;19 Uhr;0;0;
;;;;;
Montag,;05.03.2018;9 Uhr;13;7;2
;;11 Uhr;33;4;1
;;13 Uhr;45;2;1
;;15 Uhr;49;4;2
;;17 Uhr;42;2;1
;;19 Uhr;18;0;0
;;;;;
Dienstag,;06.03.2018;9 Uhr;6;0;0
;;11 Uhr;21;4;2
;;13 Uhr;34;14;3
;;15 Uhr;42;16;3
;;17 Uhr;41;9;3
;;19 Uhr;9;0;0
;;;;;
Mittwoch,;07.03.2018;9 Uhr;10;0;0
;;11 Uhr;19;9;3
;;13 Uhr;16;8;3
;;15 Uhr;51;9;3
;;17 Uhr;31;6;2
;;19 Uhr;6;0;0
;;;;;
Donnerstag,;08.03.2018;9 Uhr;15;3;1
;;11 Uhr;43;12;3
;;13 Uhr;29;2;1
;;15 Uhr;44;0;0
;;17 Uhr;39;0;0
;;19 Uhr;10;0;0
;;;;;
Freitag,;09.03.2018;9 Uhr;7;0;0
;;11 Uhr;34;2;1
;;13 Uhr;32;3;1
;;15 Uhr;38;4;1
;;17 Uhr;25;5;2
;;19 Uhr;7;2;1
;;;;;
Samstag,;10.03.2018;9 Uhr;15;0;0
;;11 Uhr;34;8;3
;;13 Uhr;37;9;3
;;15 Uhr;36;8;3
;;17 Uhr;0;0;
;;19 Uhr;0;0;
;;;;;
Montag,;12.03.2018;9 Uhr;16;5;2
;;11 Uhr;43;6;2
;;13 Uhr;44;5;2
;;15 Uhr;61;7;2
;;17 Uhr;43;2;1
;;19 Uhr;11;2;1
;;;;;
Dienstag,;13.03.2018;9 Uhr;14;2;1
;;11 Uhr;35;11;3
;;13 Uhr;35;2;1
;;15 Uhr;42;7;3
;;17 Uhr;37;8;3
;;19 Uhr;15;0;0
;;;;;
Mittwoch,;14.03.2018;9 Uhr;13;0;0
;;11 Uhr;34;4;2
;;13 Uhr;43;11;3
;;15 Uhr;56;13;3
;;17 Uhr;40;9;3
;;19 Uhr;12;0;0
;;;;;
Donnerstag,;15.03.2018;9 Uhr;11;8;2
;;11 Uhr;34;11;3
;;13 Uhr;44;5;2
;;15 Uhr;43;10;3
;;17 Uhr;38;7;3
;;19 Uhr;15;0;0
;;;;;
Freitag,;16.03.2018;9 Uhr;6;2;1
;;11 Uhr;37;6;3
;;13 Uhr;34;2;1
;;15 Uhr;42;7;2
;;17 Uhr;29;2;1
;;19 Uhr;8;0;0
;;;;;
Samstag,;17.03.2018;9 Uhr;9;5;1
;;11 Uhr;35;10;3
