;;11 Uhr;2;19;0;5;18;43;6;5;2
;;13 Uhr;0;15;0;5;19;51;6;5;2
;;15 Uhr;0;9;0;2;13;44;3;9;4
;;17 Uhr;0;11;0;0;7;31;1;2;1
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Mittwoch,;03.08.2016;9 Uhr;0;13;0;0;6;37;3;4;2
;;11 Uhr;0;15;0;0;8;49;5;7;3
;;13 Uhr;0;16;2;2;12;55;5;7;3
;;15 Uhr;0;12;0;0;10;46;4;7;3
;;17 Uhr;0;10;0;2;9;39;2;3;2
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Donnerstag,;04.08.2016;9 Uhr;0;9;0;1;6;37;2;0;0
;;11 Uhr;0;13;1;1;10;49;3;1;1
;;13 Uhr;0;16;1;1;13;56;3;4;2
;;15 Uhr;0;13;1;1;13;51;3;4;2
;;17 Uhr;0;11;0;1;9;37;3;3;1
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Freitag,;05.08.2016;9 Uhr;0;11;0;1;5;26;2;0;0
;;11 Uhr;0;16;0;0;8;39;3;0;0
;;13 Uhr;0;19;0;0;11;51;4;3;1
