;;;;;;;
Freitag,;13.7.18;9 Uhr;;15;0;0;0
;;11 Uhr;;19;1;0;0
;;13 Uhr;;15;1;0;0
;;15 Uhr;;16;0;2;1
;;17 Uhr;;14;1;2;1
;;19 Uhr;;;;;
;;;;;;;
Samstag,;14.7.18;9 Uhr;;17;0;2;1
;;11 Uhr;;23;0;2;1
;;13 Uhr;;21;1;2;1
;;15 Uhr;;22;0;2;1
;;17 Uhr;;12;0;2;1
;;19 Uhr;;;;;
;;;;;;;
Montag,;16.7.18;9 Uhr;;17;0;2;1
;;11 Uhr;;23;0;2;1
;;13 Uhr;;21;1;2;1
;;15 Uhr;;22;0;2;1
;;17 Uhr;;12;0;2;1
;;19 Uhr;;;;;
;;;;;;;
Dienstag,;17.7.18;9 Uhr;;15;0;5;2
;;11 Uhr;;21;0;5;2
;;13 Uhr;;17;2;5;2
