;;11 Uhr;0;58;;
;;13 Uhr;0;70;;
;;15 Uhr;0;67;;
;;17 Uhr;1;39;;
;;19 Uhr;;;;
;;;;;;
Montag,;14.5.18;9 Uhr;0;32;;
;;11 Uhr;1;43;;
;;13 Uhr;1;47;;
;;15 Uhr;0;101;;
;;17 Uhr;0;85;;
;;19 Uhr;0;44;;
;;;;;;
Dienstag,;15.5.18;9 Uhr;0;36;;
;;11 Uhr;0;76;;
;;13 Uhr;0;79;;
;;15 Uhr;0;100;;
;;17 Uhr;0;65;;
;;19 Uhr;0;18;;
;;;;;;
Mittwoch,;16.5.18;9 Uhr;0;36;;
;;11 Uhr;0;76;;
;;13 Uhr;0;79;;
;;15 Uhr;0;100;;
;;17 Uhr;0;65;;
;;19 Uhr;0;18;;
;;;;;;
Donnerstag,;17.5.18;9 Uhr;0;33;;
;;11 Uhr;0;59;;
;;13 Uhr;0;76;;
;;15 Uhr;0;85;;
;;17 Uhr;2;85;;
;;19 Uhr;1;27;;
;;;;;;
Freitag,;18.5.18;9 Uhr;0;23;;
;;11 Uhr;1;42;;
;;13 Uhr;0;54;;
;;15 Uhr;0;65;;
;;17 Uhr;0;60;;
;;19 Uhr;0;23;;
;;;;;;
Samstag,;19.5.18;9 Uhr;0;22;;
